category,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,is_premium,source,review_status
Burkina Faso,BEPC,"Selon le compte rendu du Conseil des ministres du 2 juillet 2025, combien de régions compte le Burkina Faso après la réorganisation administrative ?",15,17,13,45,1,Le compte rendu officiel indique que le Burkina Faso est passé de 13 à 17 régions lors de la réorganisation de juillet 2025.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,"Selon la réorganisation administrative annoncée le 2 juillet 2025, combien de provinces compte le Burkina Faso ?",45,17,350,47,3,Le communiqué officiel indique le passage de 45 à 47 provinces et de 13 à 17 régions.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,Quelle nouvelle région créée en 2025 a pour chef-lieu Djibo ?,Sirba,Soum,Tapoa,Sourou,1,Le compte rendu cite la région du Soum avec pour chef-lieu Djibo.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,Quelle nouvelle région créée en 2025 a pour chef-lieu Bogandé ?,Sourou,Sirba,Liptako,Kadiogo,1,La région de la Sirba est citée avec Bogandé comme chef-lieu.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,Quelle nouvelle région créée en 2025 a pour chef-lieu Diapaga ?,Soum,Tapoa,Nazinon,Bankui,1,La région de la Tapoa est mentionnée avec Diapaga comme chef-lieu.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,Quelle nouvelle région créée en 2025 a pour chef-lieu Tougan ?,Sourou,Yaadga,Goulmou,Sirba,0,Le compte rendu précise que la région du Sourou a pour chef-lieu Tougan.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,Quelle province nouvelle créée en 2025 a pour chef-lieu Kantchari ?,Kossin,Dyamongou,Karo-Peli,Djelgodji,1,Le communiqué cite la province du Dyamongou avec Kantchari comme chef-lieu.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,Quelle province nouvelle créée en 2025 a pour chef-lieu Arbinda ?,Bassitenga,Dyamongou,Karo-Peli,Sandbondtenga,2,Le communiqué cite la province de Karo-Peli avec Arbinda comme chef-lieu.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,Quel est le chef-lieu de la région du Kadiogo selon les toponymes endogènes de 2025 ?,Kaya,Ouagadougou,Dori,Manga,1,La liste officielle associe Kadiogo à Ouagadougou.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
Burkina Faso,BEPC,Quel est le chef-lieu de la région du Guiriko selon la liste officielle de 2025 ?,Gaoua,Banfora,Koudougou,Bobo-Dioulasso,3,La liste officielle associe Guiriko à Bobo-Dioulasso.,false,"Présidence du Faso, Conseil des ministres du 2 juillet 2025",validated
