category,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,is_premium,source,review_status
Mathématiques,BEPC,Calcule : 11 + 3 = ?,16,19,14,12,2,On additionne les deux nombres : 11 + 3 = 14.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 4 = ?,17,20,13,15,3,On additionne les deux nombres : 11 + 4 = 15.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 5 = ?,21,18,14,16,3,On additionne les deux nombres : 11 + 5 = 16.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 6 = ?,19,17,15,22,1,On additionne les deux nombres : 11 + 6 = 17.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 7 = ?,23,16,18,20,2,On additionne les deux nombres : 11 + 7 = 18.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 8 = ?,17,19,24,21,1,On additionne les deux nombres : 11 + 8 = 19.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 9 = ?,20,25,22,18,0,On additionne les deux nombres : 11 + 9 = 20.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 10 = ?,26,19,23,21,3,On additionne les deux nombres : 11 + 10 = 21.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 11 = ?,24,20,27,22,3,On additionne les deux nombres : 11 + 11 = 22.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 12 = ?,23,21,25,28,0,On additionne les deux nombres : 11 + 12 = 23.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 13 = ?,29,22,24,26,2,On additionne les deux nombres : 11 + 13 = 24.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 14 = ?,30,25,27,23,1,On additionne les deux nombres : 11 + 14 = 25.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 15 = ?,31,24,26,28,2,On additionne les deux nombres : 11 + 15 = 26.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 16 = ?,32,25,27,29,2,On additionne les deux nombres : 11 + 16 = 27.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 17 = ?,33,26,28,30,2,On additionne les deux nombres : 11 + 17 = 28.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 18 = ?,27,34,29,31,2,On additionne les deux nombres : 11 + 18 = 29.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 19 = ?,35,32,28,30,3,On additionne les deux nombres : 11 + 19 = 30.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 20 = ?,36,31,33,29,1,On additionne les deux nombres : 11 + 20 = 31.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 21 = ?,37,30,34,32,3,On additionne les deux nombres : 11 + 21 = 32.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 22 = ?,35,38,33,31,2,On additionne les deux nombres : 11 + 22 = 33.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 23 = ?,36,39,34,32,2,On additionne les deux nombres : 11 + 23 = 34.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 24 = ?,33,40,35,37,2,On additionne les deux nombres : 11 + 24 = 35.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 25 = ?,36,41,34,38,0,On additionne les deux nombres : 11 + 25 = 36.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 26 = ?,35,37,42,39,1,On additionne les deux nombres : 11 + 26 = 37.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 27 = ?,36,40,43,38,3,On additionne les deux nombres : 11 + 27 = 38.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 28 = ?,37,44,41,39,3,On additionne les deux nombres : 11 + 28 = 39.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 29 = ?,42,45,38,40,3,On additionne les deux nombres : 11 + 29 = 40.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 30 = ?,41,43,46,39,0,On additionne les deux nombres : 11 + 30 = 41.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 31 = ?,47,42,44,40,1,On additionne les deux nombres : 11 + 31 = 42.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 32 = ?,45,43,41,48,1,On additionne les deux nombres : 11 + 32 = 43.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 33 = ?,46,49,42,44,3,On additionne les deux nombres : 11 + 33 = 44.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 34 = ?,43,50,47,45,3,On additionne les deux nombres : 11 + 34 = 45.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 35 = ?,48,44,46,51,2,On additionne les deux nombres : 11 + 35 = 46.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 36 = ?,52,45,49,47,3,On additionne les deux nombres : 11 + 36 = 47.,true,Règle scolaire vérifiée mécaniquement,validated
Mathématiques,BEPC,Calcule : 11 + 37 = ?,50,46,48,53,2,On additionne les deux nombres : 11 + 37 = 48.,true,Règle scolaire vérifiée mécaniquement,validated
